title,brand,series,is_refurbished,current_price,old_price,discount_percent,shipping_cost,is_free_shipping,rating,rating_num,operating_system,screen_size_inches,resolution,resolution_category,is_touchscreen,ram_capacity_gb,ram_type,storage_capacity_gb,storage_type,cpu_brand,cpu_series,cpu_model,cpu_cores,gpu_brand,gpu_type,gpu_model,is_ai_pc,has_backlit_keyboard,link
"Lenovo V15 Business Laptop - 15.6"" Full HD,Intel Core i5-13420H,16GB DDR4,512GB SSD,Intel UHD Graphics, Windows 11 Pro",Lenovo,V-Series,0,679.0,679.0,0.0,0.0,1,,0,Windows 11 Pro,15.6,3840x2160,4K UHD,0,16,DDR4,512,SSD,Intel,Core I5,i5-13420H,,Intel,Integrated,UHD Graphics,0,0,https://www.newegg.com/lenovo-v15-g4-15-6-full-hd-anti-glare-intel-uhd-graphics-16gb-memory-512-gb-ssd-grey/p/1TS-000E-1D3J3
"Refurbished HP EliteBook 830 G8 Laptop Intel Core i7-1185G7 32GB RAM 256GB SSD 13.3"" FHD Touchscreen Windows 11 Pro",HP,EliteBook,1,399.99,549.99,27.0,0.0,1,,0,Windows 11 Pro,13.3,1920x1080,FHD (1080p),1,32,DDR4,256,SSD,Intel,Core I7,i7-1185G,,Intel,Integrated,Integrated Graphics,0,0,https://www.newegg.com/lt-hp830g8-i7-g11-32-256t-13-3-touch-screen-32gb-memory-256-gb-ssd-silver/p/1TS-000D-1N5X2
"HP 17-cn0512nr 17.3"" HD+ Laptop, Intel Celeron N4500 1.1GHz, 4GB RAM, 256GB SSD, Windows 11 Home, Moonlight Blue",HP,Other,0,479.0,479.0,0.0,0.0,1,,0,Windows 11 Home,17.3,1600x900,QHD / 3K,0,4,DDR4,256,SSD,Intel,Celeron,Celeron N4500,,Intel,Integrated,UHD Graphics,0,0,https://www.newegg.com/hp-17-3/p/1TS-000D-1R877
"Refurbished Apple MacBook Air 2020 13.3"" Laptop  Apple M1 Chip, 16GB RAM, 256GB SSD, macOS, Retina Display, Tou",Apple,MacBook Air,1,499.99,499.99,0.0,0.0,1,,0,macOS,13.3,2560x1600,QHD / 3K,0,16,DDR4,256,SSD,Apple,M1,M1,8.0,Apple,Integrated,Integrated Graphics,0,1,https://www.newegg.com/apple-13-3-ips-no-integrated-graphics-16gb-memory-gray/p/2SN-0001-03C03
"Lenovo IdeaPad 5i 2-in-1 Laptop, 16"" IPS  Glass,Intel Core Ultra 7 255U,16GB,  Graphics, 1TB SSD,Win 11 Home",Lenovo,IdeaPad,0,969.99,1069.99,9.0,0.0,1,,0,Windows 11 Home,16.0,1920x1080,FHD (1080p),0,16,DDR4,1024,SSD,Intel,Core Ultra 7,Intel Core Ultra 7 255U,,Intel,Integrated,Integrated Graphics,0,0,https://www.newegg.com/lenovo-16-gb-memory-1-tb-ssd/p/1TS-000E-1CZU0
"Dell Inspiron 15.6"" Touchscreen Laptop, AMD Ryzen 7 7730U, 16GB RAM, 512GB SSD, Windows 11 Home, Black",Dell,Inspiron,0,729.79,729.79,0.0,0.0,1,,0,Windows 11 Home,15.6,1920x1080,FHD (1080p),1,16,DDR4,512,SSD,AMD,Ryzen 7,Ryzen 7 7730U,,AMD,Integrated,Integrated Graphics,0,0,https://www.newegg.com/dell-inspiron-15-6-fhd-touch-screen-amd-ryzen-7-7730u-amd-radeon-graphics-16gb-memory-512gb-pcie-ssd-black/p/1TS-000A-15FM5
"Refurbished Lenovo ThinkPad T460 14.0-in Laptop - Intel Core i5 6300U 6th Gen 2.40 GHz 16GB 512GB SSD Windows 10 Pro 64-Bit - Webcam, Grade B",Lenovo,ThinkPad,1,391.06,391.06,0.0,0.0,1,,0,Windows 10 Pro,15.6,1920x1080,FHD (1080p),0,16,DDR4,512,SSD,Intel,Core I5,i5 6300U,,Intel,Integrated,T460,0,0,https://www.newegg.com/lenovo-thinkpad-14-0-non-touch-screen-2-40ghz-16gb-memory-512-gb-ssd/p/1TS-000E-0PRP1
"Refurbished HP EliteBook 14.0"" Intel Core i7-1185G7 16GB Memory 512GB SSD Windows 11 Pro 64-bit 840 G8",HP,EliteBook,1,557.99,699.99,20.0,0.0,1,,0,Windows 11 Pro,14.0,1920x1080,FHD (1080p),0,16,DDR4,512,SSD,Intel,Core I7,i7-1185G,,Intel,Integrated,Integrated Graphics,0,0,https://www.newegg.com/hp-elitebook-14-0-fhd-non-touch-screen-intel-core-i7-1185g7-intel-iris-xe-graphics-16gb-memory-512-gb-ssd/p/N82E16834841705
"HP Victus 15 Gaming Laptop, 15.6"" FHD IPS 144Hz, AMD Ryzen 7 7445HS 6-Core, NVIDIA GeForce RTX 4050, 64GB RAM, 2TB SSD, Backlit Keyboard, Wi-Fi 6, Windows 11 Pro",HP,Victus,0,1907.0,1907.0,0.0,0.0,1,,0,Windows 11 Pro,15.6,1920x1080,FHD (1080p),0,64,DDR4,2048,SSD,AMD,Ryzen 7,Ryzen 7 7445HS,6.0,NVIDIA,Dedicated,RTX 4050,0,1,https://www.newegg.com/hp-victus-15-6-fhd-non-touch-screen-amd-ryzen-7-7445hs-nvidia-geforce-rtx-4050-64gb-memory-2tb-ssd-black/p/1TS-000D-1SUK9
"ASUS Zenbook Duo AI Powered 2-in-1 Laptop 14.0"" Touchscreen OLED 2.8K Display (Intel Ultra 9-285H, 32GB LPDDR5X, 2TB PCIe SSD, Active Pen, Backlit KB, 2 Thunderbolt 4, WiFi 7, Webcam, Win 11 Pro)",Asus,ZenBook,0,2481.24,2481.24,0.0,0.0,1,,0,Windows 11 Pro,14.0,2880x1800,QHD / 3K,1,32,LPDDR5X,2048,NVMe PCIe SSD,Intel,Other,Other,,Intel,Integrated,Arc Graphics,0,1,https://www.newegg.com/asus-zenbook-duo-14-0-yes-intel-arc-graphics-32gb-memory-2-tb-ssd-gray/p/1TS-001A-0BBT4
"Refurbished Lenovo ThinkPad L15 Gen 3 Laptop AMD Ryzen 5 Pro 5675U 32GB RAM 512 GB SSD 15.5"" FHD Windows 11 Pro",Lenovo,ThinkPad,1,600.27,600.27,0.0,0.0,1,3.0,1,Windows 11 Pro,15.5,1920x1080,FHD (1080p),1,32,DDR4,512,NVMe PCIe SSD,AMD,Ryzen 5,Ryzen 5 Pro 5675U,,AMD,Integrated,Integrated Graphics,1,0,https://www.newegg.com/lenovo-15-5-fhd-non-touch-screen-integrated-graphics-32gb-memory-512-gb-nvme-ssd-black/p/1TS-000E-1E4W8
"Refurbished Dell Latitude 5590 15.6"" Full HD 1920 x 1080 Ultrabook - 8th Gen Intel QUAD Core i5-8350U 1.7GHz 32 GB RAM DDR4 1TB SSD Wi-Fi Bluetooth Windows 11 Pro",Dell,Latitude,1,399.0,399.0,0.0,0.0,1,,0,Windows 11 Pro,14.0,1920x1080,FHD (1080p),1,32,DDR4,1024,SSD,Intel,Core I5,i5-8350U,4.0,Intel,Integrated,UHD Graphics,0,0,https://www.newegg.com/dell-5000-14-0-fhd-non-touch-screen-intel-core-i5-8350u-intel-uhd-graphics-620-32gb-memory-1-tb-ssd-black/p/1TS-000A-0PFU9
"Dell Inspiron 3000 Home & Business Laptop Notebook ,15.6"" FHD Touch Display,AMD Ryzen 7 7730U (Beat I5-1235U),16GB RAM,512GB SSD, Wi-Fi, Lifetime Microsoft Office, Windows 11 Home/XTREDURA FLASH Drive",Dell,Inspiron,0,746.79,746.79,0.0,0.0,1,,0,Windows 11 Home,15.6,1920x1080,FHD (1080p),1,16,DDR4,512,SSD,AMD,Ryzen 7,I5-1235U,,AMD,Integrated,Integrated Graphics,0,0,https://www.newegg.com/dell-3000-15-0-fhd-touch-screen-amd-ryzen-7-7730u-16gb-memory-512-gb-ssd-black/p/1TS-000A-14WC3
"Refurbished Dell Inspiron 3520 Home & Business Laptop (Intel i5-1135G7 4-Core, 64GB RAM, 512GB PCIe SSD, Intel Iris Xe, 15.6"" 120 Hz Full HD (1920x1080), Wifi, Bluetooth, Webcam, Win 11 Pro) (Renewed)",Dell,Inspiron,1,646.13,646.13,0.0,0.0,1,,0,Windows 11 Home,15.6,1920x1080,FHD (1080p),0,64,DDR4,512,NVMe PCIe SSD,Intel,Other,i5-1135G,4.0,Intel,Integrated,Iris Xe,0,0,https://www.newegg.com/dell-inspiron-3520-15-6-non-touch-screen-intel-iris-xe-graphics-64gb-memory-512-gb-ssd-black/p/1TS-000A-13FK7
"Refurbished DELL LATITUDE 5450 14"", FHD Touchscreen Intel Core Ultra 7 165U 1.7 GHz up to 4.90 GHz 32 GB 256 GB SSD Intel Graphics Windows 11 Pro Laptop, Titan Gray, Minor Scratches and Dent - LATITUDE 5450-I010",Dell,Latitude,1,649.99,650.0,0.0,0.0,1,,0,Windows 11 Pro,14.0,1920x1080,FHD (1080p),1,32,DDR4,256,SSD,Intel,Core Ultra 7,Intel Core Ultra 7 165U,,Intel,Integrated,Integrated Graphics,0,0,https://www.newegg.com/dell-14-0-yes-intel-graphics-32gb-memory-256-gb-ssd-gray/p/1TS-000A-15KX7
"Lenovo Ideapad 1i 15.6"" FHD Touchscreen Business&Home Laptop, 13th Intel Core i5-1334U Upto 4.6GHz, 16GB RAM, 1TB PCle SSD, Windows 11 Home, Lifetime Microsoft Office License, Blue",Lenovo,IdeaPad,0,799.79,799.79,0.0,0.0,1,,0,Windows 11 Home,15.6,1920x1080,FHD (1080p),1,16,DDR4,1024,SSD,Intel,Core I5,i5-1334U,,Intel,Integrated,Integrated Graphics,0,1,https://www.newegg.com/lenovo-ideapad-15-0-fhd-touch-screen-16gb-memory-1-tb-ssd-blue/p/1TS-000E-1D8K0
"Lenovo V-Series Business Laptop, 15.6"" FHD 1920×1080, Intel Core i5-13420H, 40GB RAM, 1TB SSD, Wi-Fi 6, HDMI, USB-C, Windows 11 Pro, Grey",Lenovo,V-Series,0,899.99,899.99,0.0,0.0,1,,0,Windows 11 Pro,15.6,1920x1080,FHD (1080p),0,40,DDR4,1024,NVMe PCIe SSD,Intel,Core I5,i5-13420H,,Intel,Integrated,UHD Graphics,0,0,https://www.newegg.com/lenovo-v-series-15-6-fhd-intel-uhd-graphics-40gb-memory-1-tb-pcie-ssd-grey/p/1TS-000E-1D5A0
"Lenovo V15 Gen 4 15.6"" Laptop AMD Ryzen 7 7730U 16GB RAM 1TB SSD Windows 11 Home (83CR003UUS)",Lenovo,V-Series,0,749.99,749.99,0.0,0.0,1,4.7,3,Windows 11 Home,15.6,1920x1080,FHD (1080p),1,16,DDR4,1024,NVMe PCIe SSD,AMD,Ryzen 7,Ryzen 7 7730U,8.0,AMD,Integrated,Radeon Graphics,0,1,https://www.newegg.com/lenovo-15-6-non-touch-screen-amd-ryzen-7-7730u-amd-radeon-graphics-16gb-memory-1-tb-nvme-ssd-business-black/p/N82E16834840737
